,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
65,Z1114,SERVICES MARKETING,"CHRISTOPHER LOVELOCK, JOCHEN WIRTZ, JAYANTEE CHATTERJEE",PEARSON EDUCATION,,Marketing,
66,2281,SERVICES MARKETING,"CHRISTOPHER LOVELOCK, JOCHEN WIRTZ, JAYANTEE CHATTERJEE",PEARSON EDUCATION,,Marketing,
67,2375,SERVICES MARKETING,"CHRISTOPHER LOVELOCK, JOCHEN WIRTZ, JAYANTEE CHATTERJEE",PEARSON EDUCATION,,Marketing,
68,667,INTERNATIONAL MARKETING,RAJAGOPAL,VIKAS PUBLISHING HOUSE,,Marketing,
69,Z3007,INTERNATIONAL MARKETING,RAJAGOPAL,VIKAS PUBLISHING HOUSE,,Marketing,
70,1046,INTERNATIONAL MARKETING," Michael Czinkota, Ilkka Ronkainen, Annie Cui",cengage education,,Marketing,
71,Z2215,STRATEGIC MARKETING,"CAROL H ANDERSON, JALIAN W VINCZE",BIZTANTRA PUBLICATION,,Marketing,
72,710,STRATEGIC MARKETING,"CAROL H ANDERSON, JALIAN W VINCZE",BIZTANTRA PUBLICATION,,Marketing,
73,Z2171,STRATEGIC MARKETING,"CAROL H ANDERSON, JALIAN W VINCZE",BIZTANTRA PUBLICATION,,Marketing,
74,677,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,,Marketing,
75,676,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,,Marketing,
76,673,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,,Marketing,
77,681,INTERNATIONAL MARKETING,"ONKVISIT, SHAW",PEARSON EDUCATION,,Marketing,
78,Z3006,INTERNATIONAL MARKETING,CATEORA GRAHAM,TATA MCGRAW HILL,,Marketing,
79,1163,STRATEGIC MANAGEMENT ,KELVIN KELLER,PEARSON EDUCATION,,Marketing,
80,393,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
81,391,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
82,392,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
83,390,BUSINESS ENVIRONMENT TEXT AND CASES,FRANCIS CHERUNILAM ,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
84,28,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,,BUSINESS,
85,27,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,,BUSINESS,
86,25,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,,BUSINESS,
87,26,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,,BUSINESS,
88,29,BUSINESS PROCESS OUTSOURCING,SARIKA KULKARNI,JAICO PUBLISHING HOUSE ,,BUSINESS,
89,909,E BUSINESS AND COMMERCE STRATEGIC THINKING AND PRACTICE,BRAHM CANZER,BIZTANTRA PUBLICATION,,BUSINESS,
90,815,E BUSINESS AND COMMERCE STRATEGIC THINKING AND PRACTICE,BRAHM CANZER,BIZTANTRA PUBLICATION,,BUSINESS,
91,814,E BUSINESS AND COMMERCE STRATEGIC THINKING AND PRACTICE,BRAHM CANZER,BIZTANTRA PUBLICATION,,BUSINESS,
92,167,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
93,165,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
94,367,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
95,166,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
96,369,A STUDY IN BUSINESS ETHICS ,RITUPARNA RAY,HIMALAYA PUBLISHING HOUSE,,BUSINESS,
