,,,,,,,
SGJ College Koday-Mandvi,,,,,,,
Library Register,,,,,,,
Library Book Register,,,,,,,
,,,,,,,
,,,,,,,
Sr. No.,Unique No.,Title of the Book,Name of Author,Publication,No of Copies,Category,Rack No.
177,949,ORGANIZATIONAL BEHAVIOR,UMA SEKARAN,TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
178,Z2157,ORGANIZATIONAL BEHAVIOR,UMA SEKARAN,TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
179,2489,ORGANIZATIONAL BEHAVIOR,UMA SEKARAN,TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
180,Z2156,ORGANIZATIONAL BEHAVIOR,UMA SEKARAN,TATA MCGRAW HILL,,ORGANIZATIONAL BEHAVIOR,
181,2111,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
182,2062,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
183,2486,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
184,2114,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
185,12104,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
186,2219,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
187,2107,ORGANIZATIONAL BEHAVIOR,"Stephen Robbins, TIMPHONY JUDGE, SHUNGHI  ",PEARSON EDUCATION,,ORGANIZATIONAL BEHAVIOR,
188,1159,ORGANIZATIONAL BEHAVIOR,"ARUN KUMAR, W MEENAKSHI",VIKAS PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
189,Z3017,"ORGANIZATIONAL BEHAVIOR TEXTS,CASES AND GAMES",K Aswathappa,HIMALAYA PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
190,Z3034,"ORGANIZATIONAL BEHAVIOR TEXTS,CASES AND GAMES",K Aswathappa,HIMALAYA PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
191,Z3035,"ORGANIZATIONAL BEHAVIOR TEXTS,CASES AND GAMES",K Aswathappa,HIMALAYA PUBLISHING HOUSE,,ORGANIZATIONAL BEHAVIOR,
192,913,BUSINESS COMMUNCATION APPLICATIONS IN ELECTRONIC AGE,"HUDSON, SELZLER",JAICO PUBLISHING HOUSE ,,COMMUNITION,
193,914,BUSINESS COMMUNCATION APPLICATIONS IN ELECTRONIC AGE,"HUDSON, SELZLER",JAICO PUBLISHING HOUSE ,,COMMUNITION,
194,584,BUSINESS COMMUNCATION,"K RAMACHANDRAN, LAKSHMI K, K K KARTHIK, M KRISHNA KUMAR, ",MACMILLAN EDUCATION,,COMMUNITION,
195,959,COMMUNITION IN ORGANIZATION,DELMAR FISHER,JAICO PUBLISHING HOUSE ,,COMMUNITION,
196,577,COMMUNITION IN ORGANIZATION,DELMAR FISHER,JAICO PUBLISHING HOUSE ,,COMMUNITION,
